"service_id","date","exception_type"
"GO401_120000430","20120625","1"
"GO401_120000430","20120626","1"
"GO401_120000430","20120627","1"
"GO401_120000430","20120628","1"
"GO401_120000430","20120629","1"
"GO401_120000430","20120702","1"
"GO401_120000430","20120703","1"
"GO401_120000430","20120705","1"
"GO401_120000430","20120706","1"
"GO401_120000430","20120709","1"
"GO401_120000430","20120710","1"
"GO401_120000430","20120711","1"
"GO401_120000430","20120712","1"
"GO401_120000430","20120713","1"
"GO401_120000430","20120716","1"
"GO401_120000430","20120717","1"
"GO401_120000430","20120718","1"
"GO401_120000430","20120719","1"
"GO401_120000430","20120720","1"
"GO401_120000430","20120723","1"
"GO401_120000430","20120724","1"
"GO401_120000430","20120726","1"
"GO401_120000430","20120727","1"
"GO401_120000430","20120730","1"
"GO401_120000430","20120731","1"
"GO401_120000430","20120801","1"
"GO401_120000430","20120802","1"
"GO401_120000430","20120803","1"
"GO401_120000430","20120806","1"
"GO401_120000430","20120807","1"
"GO401_120000430","20120808","1"
"GO401_120000430","20120810","1"
"GO401_120000430","20120813","1"
"GO401_120000430","20120814","1"
"GO401_120000430","20120815","1"
"GO401_120000430","20120816","1"
"GO401_120000430","20120817","1"
"GO401_120000430","20120820","1"
"GO401_120000430","20120821","1"
"GO401_120000430","20120822","1"
"GO401_120000430","20120824","1"
"GO401_120000430","20120827","1"
"GO401_120000430","20120828","1"
"GO401_120000430","20120829","1"
"GO401_120000430","20120830","1"
"GO401_120000430","20120831","1"
"GO401_120000432","20120514","1"
"GO401_120000432","20120515","1"
"GO401_120000432","20120516","1"
"GO401_120000432","20120518","1"
"GO401_120000432","20120521","1"
"GO401_120000432","20120522","1"
"GO401_120000432","20120523","1"
"GO401_120000432","20120524","1"
"GO401_120000432","20120525","1"
"GO401_120000432","20120529","1"
"GO401_120000432","20120530","1"
"GO401_120000432","20120531","1"
"GO401_120000432","20120601","1"
"GO401_120000432","20120605","1"
"GO401_120000432","20120606","1"
"GO401_120000432","20120607","1"
"GO401_120000432","20120608","1"
"GO401_120000432","20120611","1"
"GO401_120000432","20120612","1"
"GO401_120000432","20120613","1"
"GO401_120000432","20120614","1"
"GO401_120000432","20120615","1"
"GO401_120000432","20120618","1"
"GO401_120000432","20120619","1"
"GO401_120000432","20120620","1"
"GO401_120000432","20120621","1"
"GO401_120000432","20120622","1"
"GO401_120000432","20120625","1"
"GO401_120000432","20120626","1"
"GO401_120000432","20120627","1"
"GO401_120000432","20120628","1"
"GO401_120000432","20120629","1"
"GO401_120000432","20120702","1"
"GO401_120000432","20120703","1"
"GO401_120000432","20120705","1"
"GO401_120000432","20120706","1"
"GO401_120000432","20120709","1"
"GO401_120000432","20120710","1"
"GO401_120000432","20120711","1"
"GO401_120000432","20120712","1"
"GO401_120000432","20120713","1"
"GO401_120000432","20120716","1"
"GO401_120000432","20120717","1"
"GO401_120000432","20120718","1"
"GO401_120000432","20120719","1"
"GO401_120000432","20120720","1"
"GO401_120000432","20120723","1"
"GO401_120000432","20120724","1"
"GO401_120000432","20120726","1"
"GO401_120000432","20120727","1"
"GO401_120000432","20120730","1"
"GO401_120000432","20120731","1"
"GO401_120000432","20120801","1"
"GO401_120000432","20120802","1"
"GO401_120000432","20120803","1"
"GO401_120000432","20120806","1"
"GO401_120000432","20120807","1"
"GO401_120000432","20120808","1"
"GO401_120000432","20120810","1"
"GO401_120000432","20120813","1"
"GO401_120000432","20120814","1"
"GO401_120000432","20120815","1"
"GO401_120000432","20120816","1"
"GO401_120000432","20120817","1"
"GO401_120000432","20120820","1"
"GO401_120000432","20120821","1"
"GO401_120000432","20120822","1"
"GO401_120000432","20120824","1"
"GO401_120000432","20120827","1"
"GO401_120000432","20120828","1"
"GO401_120000432","20120829","1"
"GO401_120000432","20120830","1"
"GO401_120000432","20120831","1"
"GO401_120000433","20120514","1"
"GO401_120000433","20120515","1"
"GO401_120000433","20120516","1"
"GO401_120000433","20120518","1"
"GO401_120000433","20120521","1"
"GO401_120000433","20120522","1"
"GO401_120000433","20120523","1"
"GO401_120000433","20120524","1"
"GO401_120000433","20120525","1"
"GO401_120000433","20120529","1"
"GO401_120000433","20120530","1"
"GO401_120000433","20120531","1"
"GO401_120000433","20120601","1"
"GO401_120000433","20120605","1"
"GO401_120000433","20120606","1"
"GO401_120000433","20120607","1"
"GO401_120000433","20120608","1"
"GO401_120000433","20120611","1"
"GO401_120000433","20120612","1"
"GO401_120000433","20120613","1"
"GO401_120000433","20120614","1"
"GO401_120000433","20120615","1"
"GO401_120000433","20120618","1"
"GO401_120000433","20120619","1"
"GO401_120000433","20120620","1"
"GO401_120000433","20120621","1"
"GO401_120000433","20120622","1"
"GO401_120000433","20120625","1"
"GO401_120000433","20120626","1"
"GO401_120000433","20120627","1"
"GO401_120000433","20120628","1"
"GO401_120000433","20120629","1"
"GO401_120000433","20120702","1"
"GO401_120000433","20120703","1"
"GO401_120000433","20120705","1"
"GO401_120000433","20120706","1"
"GO401_120000433","20120709","1"
"GO401_120000433","20120710","1"
"GO401_120000433","20120711","1"
"GO401_120000433","20120712","1"
"GO401_120000433","20120713","1"
"GO401_120000433","20120716","1"
"GO401_120000433","20120717","1"
"GO401_120000433","20120718","1"
"GO401_120000433","20120719","1"
"GO401_120000433","20120720","1"
"GO401_120000433","20120723","1"
"GO401_120000433","20120724","1"
"GO401_120000433","20120726","1"
"GO401_120000433","20120727","1"
"GO401_120000433","20120730","1"
"GO401_120000433","20120731","1"
"GO401_120000433","20120801","1"
"GO401_120000433","20120802","1"
"GO401_120000433","20120803","1"
"GO401_120000433","20120806","1"
"GO401_120000433","20120807","1"
